Participant,Group,Question_ID,CARE_Dimension,Rating,Motivation,Initial Code,Final Theme
Group_A_results_20260511_125201,A,0,Collaborative (Accurate/Complete),3,".not really, could be simpler.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125201,A,1,Collaborative (Domain Understanding),2,I Don't have knowledge about the domain,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125201,A,2,Adaptive (Background/Complexity),4,Yes I see potential.,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125201,A,3,Adaptive (Tailored Presentation),2,No really. Needs more information about the user,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125201,A,4,Responsible (Verifiability),2,I don't have enough knowledge.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125201,A,5,Responsible (Capabilities/Limitations),2,In some away,Vague Feedback,Passive Engagement
Group_A_results_20260511_125201,A,6,Explainable (Reasoning),2,"No, I didn't see the reasoning.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125201,A,7,Explainable (Confidence/Trust),4,"Yes, increase my trust.",Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125313,A,0,Collaborative (Accurate/Complete),5,It just felt like it.,Vague Feedback,Passive Engagement
Group_A_results_20260511_125313,A,1,Collaborative (Domain Understanding),5,"I guess so, felt hardcoded though.",Vague Feedback,Passive Engagement
Group_A_results_20260511_125313,A,2,Adaptive (Background/Complexity),5,It helped.,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125313,A,3,Adaptive (Tailored Presentation),5,something.,Vague Feedback,Passive Engagement
Group_A_results_20260511_125313,A,4,Responsible (Verifiability),2,"Not sure if you mean I could as in I actually did, or could as in ""I could have"" verified it.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125313,A,5,Responsible (Capabilities/Limitations),2,Not really.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125313,A,6,Explainable (Reasoning),5,"The answers were rational, but I couldn't see the CoT not sure what the question refers to.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125313,A,7,Explainable (Confidence/Trust),1,"Not sure what underlying process means here, I saw no underlying process.",Invisible Reasoning,Process Opacity
Group_B_results_20260511_125410,B,0,Collaborative (Accurate/Complete),3,Seems to get the correct papers,General Feedback,Baseline Collaboration
Group_B_results_20260511_125410,B,1,Collaborative (Domain Understanding),1,At some point it started unprompted to talk about on-device LLMs? This didn't seem to be the topic so far,General Feedback,Baseline Collaboration
Group_B_results_20260511_125410,B,2,Adaptive (Background/Complexity),4,Graphs are quite useful!,Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125410,B,3,Adaptive (Tailored Presentation),4,The graphs are nice,Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125410,B,4,Responsible (Verifiability),2,It could use screenshots / quotes or links to the actual paper,Desire for Direct Provenance,The Provenance Gap
Group_B_results_20260511_125410,B,5,Responsible (Capabilities/Limitations),1,It's quite opaque how this is made on a first glance.,General Feedback,Baseline Collaboration
Group_B_results_20260511_125410,B,6,Explainable (Reasoning),1,"The graph mostly seems to copy the answer from the text, I'm not sure how it is the reasoning to derive the answers.",Appreciates Relationships,Contextual Grounding
Group_B_results_20260511_125410,B,7,Explainable (Confidence/Trust),2,"Not much, as I'm not clear what the underlying process exactly is",Appreciates Relationships,Contextual Grounding
Group_A_results_20260511_125610,A,0,Collaborative (Accurate/Complete),3,They look sound but I need to check them,Vague Feedback,Passive Engagement
Group_A_results_20260511_125610,A,1,Collaborative (Domain Understanding),4,The answers look correct,Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125610,A,2,Adaptive (Background/Complexity),4,Don’t completely agree. I have to double check everything,Vague Feedback,Passive Engagement
Group_A_results_20260511_125610,A,3,Adaptive (Tailored Presentation),4,Some how,Vague Feedback,Passive Engagement
Group_A_results_20260511_125610,A,4,Responsible (Verifiability),4,I’m not sure,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125610,A,5,Responsible (Capabilities/Limitations),3,I can’t,Vague Feedback,Passive Engagement
Group_A_results_20260511_125610,A,6,Explainable (Reasoning),3,I can’t,Vague Feedback,Passive Engagement
Group_A_results_20260511_125610,A,7,Explainable (Confidence/Trust),4,That true,Vague Feedback,Passive Engagement
Group_B_results_20260512_183111,B,0,Collaborative (Accurate/Complete),4,Because i understood the answers to the questions but they can’t be fully complete because you can always dig down into more facts or knowledge,Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_183111,B,1,Collaborative (Domain Understanding),5,Yeah it explained all the knowledge,General Feedback,Baseline Collaboration
Group_B_results_20260512_183111,B,2,Adaptive (Background/Complexity),4,Yeah it didn’t go into the details of the answer without context but i believe there were assumptions about past knowledge,Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_183111,B,3,Adaptive (Tailored Presentation),5,Yeah I fully understood it,General Feedback,Baseline Collaboration
Group_B_results_20260512_183111,B,4,Responsible (Verifiability),3,It made sense logically,General Feedback,Baseline Collaboration
Group_B_results_20260512_183111,B,5,Responsible (Capabilities/Limitations),3,Understood its capabilities but not its limitations fully,Conditional Skepticism,Calibrated Trust
Group_B_results_20260512_183111,B,6,Explainable (Reasoning),5,Yeah all were related to the questions,General Feedback,Baseline Collaboration
Group_B_results_20260512_183111,B,7,Explainable (Confidence/Trust),3,I would say that some of it is irrelevant to me as a viewer like the graph but the rest was important,Conditional Skepticism,Calibrated Trust
Group_A_results_20260511_125542,A,0,Collaborative (Accurate/Complete),3,I don't have the background to judge.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125542,A,1,Collaborative (Domain Understanding),4,"Yes, but I think it bias the task to its understanding of the scientific domain by suggesting follow up steps",Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125542,A,2,Adaptive (Background/Complexity),3,"I think it is nice that the background is there, but I didn't check it, the summary looked enough to me.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125542,A,3,Adaptive (Tailored Presentation),5,"Yes, I think so.",Uncritical Acceptance,Automation Bias
Group_A_results_20260511_125542,A,4,Responsible (Verifiability),3,Not more than with any other llm interface.,Invisible Reasoning,Process Opacity
Group_A_results_20260511_125542,A,5,Responsible (Capabilities/Limitations),1,"No, I didn't see any warning on limitations, instead the system was leading the conversation what shows confidence.",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125542,A,6,Explainable (Reasoning),3,"Yes, but I can't evaluate hoe correct this reasoning is",Invisible Reasoning,Process Opacity
Group_A_results_20260511_125542,A,7,Explainable (Confidence/Trust),3,No more than other llms. I would need to actually check the sources on topics I know to generate trust on it.,Invisible Reasoning,Process Opacity
